horizon,cift,n,lag,acf_1,acf_2,acf_4,acf_5,acf_8,acf_ort_h_2h,varyans_sisme,acf_10,acf_21,acf_22,acf_42,acf_32,acf_65,acf_66,acf_130,acf_62,acf_125,acf_126,acf_250
5,har_x vs xgboost,3662,4,0.6145028401942068,0.2692916082321783,-0.02072261534106441,-0.08990925221538706,-0.004252940589719127,-0.01599511957162255,2.372766722164072,,,,,,,,,,,,
22,har_x vs xgboost,3645,21,0.6770845143273535,,,,,-0.009527207848871556,3.9611359692649555,-0.02535354415513559,-0.0684413734703124,-0.03503807853584769,0.012356268363324383,,,,,,,,
66,har_x vs xgboost,3500,65,0.7127603082309182,,,,,0.017112420984178707,5.467121163899974,,,,,-0.12924168093098362,-0.01380600243723233,-0.008814199431128591,0.01301959380059888,,,,
126,har_x vs xgboost,3500,125,0.7295785082366893,,,,,-0.011713750796921513,12.668149587715844,,,,,,,,,0.0264269813545681,0.005933870256690451,0.004151050693579077,0.012139535397917131
