horizon,model,n_folds,rmse_fold_mean,mae_fold_mean,r2_oos_fold_mean,r2_fold_mean,rmse_pooled,mae_pooled,r2_pooled,n_pooled
5,xgboost,15,0.010912739598711918,0.007867822239466981,0.28268405221696685,-0.049963465027873646,0.011912319459134383,0.007735883710172748,0.30997039165307627,3662
5,train_mean,15,0.013456156132336495,0.010036091306642533,0.0,-0.9257927694556091,0.014655436525256395,0.00984448622724269,-0.04441374953660282,3662
5,past_vol,15,0.013317793292048267,0.009538438142499514,-0.07465858273179929,-0.5721215631906823,0.01447608507330609,0.00935338714271871,-0.019007349665759676,3662
22,xgboost,15,0.009079756323283804,0.006895950068863094,0.18643008542097952,-0.8173649006221522,0.010233419589841879,0.006735840926138879,0.30961115003135586,3645
22,train_mean,15,0.011238108904636392,0.009017223332335834,0.0,-3.268514235468763,0.012727834725707737,0.008707910714701271,-0.06797542773717447,3645
22,past_vol,15,0.00949263292038043,0.0072278120488609215,0.07216259912026386,-0.6625803840087753,0.010852389375903248,0.006991598586092423,0.22356886732730719,3645
66,xgboost,14,0.008924304940887171,0.0070080594506786486,-0.19917084812161084,-3.0874475268159394,0.010890749707201197,0.007031312288333438,-0.11072227107070787,3500
66,train_mean,14,0.009265168397472023,0.007443717287286454,0.0,-12.268376596930523,0.01091714786896748,0.007433916029540896,-0.11611337135215605,3500
66,past_vol,14,0.008912876674174465,0.007011962716055749,-0.10533769221805389,-1.5566377865638936,0.011910802806374365,0.007043753516585847,-0.3285319243394835,3500
126,xgboost,14,0.008627015238730698,0.006907759454030509,-0.28338019451506397,-4.865123632130304,0.009906857779872241,0.006922612066125682,-0.0668617264240543,3500
126,train_mean,14,0.00896492097375068,0.007253763105404564,0.0,-16.252224110024123,0.010249535088498976,0.007242454609681921,-0.14194348569433823,3500
126,past_vol,14,0.008507621062478569,0.006894556706311888,-0.18983089829087937,-2.170768042697642,0.011051191927720565,0.006925318452371024,-0.327561108737074,3500
