horizon,ornek,n_gozlem,n_uc,uc_havuz_payi_pct,h2_vs_harx_uc_pct,h2_vs_harx_geri_kalan_pct,h2_vs_harx_havuz_pct
5,tum yillar,3662,37,38.82547431090174,-10.779805788308117,3.2055781377717807,-1.9870403187562502
5,2020 haric,3409,35,24.237282229399035,3.010802504487997,3.2021174824687693,3.155780508520367
22,tum yillar,3645,37,44.80549584592431,-12.327068469556835,8.654892961374717,-0.19922956806873726
22,2020 haric,3392,34,16.839334276449716,5.124620200505725,9.544630036058855,8.812901795427553
66,tum yillar,3500,35,40.55570085221027,-9.345389627797296,5.665311526126771,-0.1500012918528304
66,2020 haric,3247,33,23.092271833082894,-2.786487656260883,9.515400088517879,6.800516800744538
126,tum yillar,3500,35,24.3128709338501,-13.580285872035313,0.4013669227601824,-2.8127277756492153
126,2020 haric,3247,33,27.501977686733103,-3.578223333482411,2.249209187517609,0.6801812567032162
