horizon,karsilastirma,rmse_fark_pct,dm_n_gunluk,dm_etkin_blok,dm_istatistik,dm_p,dm_blok_basina_etki,dm_gerceklesen_guc,dm_gerekli_blok,dm_gerekli_gun,dm_gerekli_yil,dm_kat_artis,isaret_fold,isaret_kazanan,isaret_oran,isaret_p,isaret_gerceklesen_guc,isaret_gerekli_fold_yil,isaret_kat_artis
5,har vs har_x,1.4864380378213138,3662,732.4,0.3565,0.7215207354569739,0.01317,0.0647,45243.0,226213.0,926.6,61.8,15,3,0.2,0.03515625,0.6482,20,1.3
22,har vs har_x,4.805852535174071,3645,165.7,0.6553,0.5122846739621494,0.05091,0.1005,3028.0,66613.0,272.9,18.3,15,2,0.1333,0.00738525390625,0.8708,15,1.0
66,har vs har_x,-1.2751132066372128,3500,53.0,0.2018,0.8400957542619452,0.02771,0.0547,10222.0,674673.0,2763.5,192.8,14,4,0.2857,0.1795654296875,0.1904,42,3.0
126,har vs har_x,-2.524009896306933,3500,27.8,0.5306,0.595755587738966,0.10067,0.0828,775.0,97589.0,399.7,27.9,14,5,0.3571,0.4239501953125,0.0761,94,6.7
5,har_x vs xgboost,-2.5212362785120623,3662,732.4,0.604,0.545892148603309,0.02232,0.0927,15758.0,78791.0,322.7,21.5,15,10,0.6667,0.3017578124999999,0.2095,72,4.8
22,har_x vs xgboost,-9.461924921077314,3645,165.7,1.3838,0.1664977544717352,0.10751,0.2827,679.0,14940.0,61.2,4.1,15,13,0.8667,0.00738525390625,0.8708,15,1.0
66,har_x vs xgboost,-9.153076555698492,3500,53.0,1.4684,0.142088787244768,0.20164,0.3118,193.0,12741.0,52.2,3.6,14,11,0.7857,0.057373046875,0.396,25,1.8
126,har_x vs xgboost,-0.9804360216532416,3500,27.8,0.142,0.8871071675392563,0.02694,0.0523,10816.0,1362844.0,5582.4,389.4,14,10,0.7143,0.1795654296875,0.1904,42,3.0
