hibrit,horizon,bilesen_A,bilesen_B,hata_korelasyonu,rmse_A,rmse_B
h1_xgb_bilstm,5,xgboost,bilstm,0.6903131238994629,0.011912319459134384,0.015114525236095926
h1_xgb_bilstm,22,xgboost,bilstm,0.8299635021592169,0.010233419589841877,0.012155531905964053
h1_xgb_bilstm,66,xgboost,bilstm,0.7633931149896847,0.010890749707201193,0.01647564734766472
h1_xgb_bilstm,126,xgboost,bilstm,0.7761246133161008,0.009906857779872241,0.0142665048710602
h2_harx_xgb,5,har_x,xgboost,0.8746184792702111,0.011611981739318437,0.011912319459134384
h2_harx_xgb,22,har_x,xgboost,0.8003563630400519,0.009265141111392221,0.010233419589841877
h2_harx_xgb,66,har_x,xgboost,0.813615978681529,0.009893911049011559,0.010890749707201193
h2_harx_xgb,126,har_x,xgboost,0.87067628642438,0.009809727377584418,0.009906857779872241
