horizon,model,n_folds,rmse_fold_mean,mae_fold_mean,r2_oos_fold_mean,vs_har_x_pct
5,bilstm,15,0.01422716993452944,0.010047647085931232,-0.36836060443029156,37.5813050936705
5,h1_xgb_bilstm,15,0.01161052400056735,0.008340634617377067,0.15619256322139827,12.277498066749114
5,h2_harx_xgb,15,0.010340327637187311,0.007434628006481337,0.36120678114066335,-0.0057089381048536225
5,h3_harx_resid,15,0.011189669694203893,0.00828995200844814,0.2468372058152607,8.207701684880654
5,har,15,0.010834116847330127,0.007807164273352727,0.29523287278059307,4.769391400560519
5,har_x,15,0.010340917993795051,0.00739123902848857,0.3733546031789427,0.0
5,har_x_log,15,0.010334907997353707,0.007349157454122966,0.38294229868451407,-0.05811859686877252
5,past_vol,15,0.013317793292048267,0.009538438142499512,-0.07465858273180064,28.787340737441845
5,train_mean,15,0.013456156132336493,0.010036091306642524,0.0,30.125353865205227
5,xgboost,15,0.010912739598711921,0.007867822239466978,0.28268405221696585,5.529698671433092
22,bilstm,15,0.010511836061472078,0.008254966060170385,-0.24922882496623147,37.068039715778944
22,h1_xgb_bilstm,15,0.009389561860371763,0.00732737591707384,0.10676359116085662,22.434257009423654
22,h2_harx_xgb,15,0.008002418873307254,0.006012444588333471,0.3733884754309539,4.346744140069014
22,h3_harx_resid,15,0.008817798227906378,0.006719367779631331,0.21204509079339887,14.978802051364838
22,har,15,0.00859955762572054,0.006451299364336722,0.2772742803707169,12.13307544822233
22,har_x,15,0.007669064271488214,0.005643771300388383,0.4365032576337373,0.0
22,har_x_log,15,0.00756146377093569,0.005562906441884206,0.4432965512078002,-1.4030460137432477
22,past_vol,15,0.009492632920380432,0.007227812048860921,0.07216259912026182,23.7782418341677
22,train_mean,15,0.011238108904636383,0.009017223332335822,0.0,46.538202143083375
22,xgboost,15,0.0090797563232838,0.006895950068863083,0.186430085420979,18.394578554259986
66,bilstm,14,0.01158940182842694,0.009491705482739808,-2.2323732214880168,53.02970854968769
66,h1_xgb_bilstm,14,0.009889670667397387,0.008081912796478056,-0.771311935816355,30.585982114457156
66,h2_harx_xgb,14,0.007901003212111414,0.006079326832751651,0.11294541246113486,4.327059903459096
66,h3_harx_resid,14,0.009333128357136806,0.007221310039244414,-0.3876607158692679,23.237241532709053
66,har,14,0.008099729024691535,0.006086055172247676,0.06075969987845218,6.951091206424431
66,har_x,14,0.007573301902136174,0.00560892320997585,0.20456653176052292,0.0
66,har_x_log,14,0.007503573335551214,0.005635472586113548,0.19996937811533114,-0.9207155278636359
66,past_vol,14,0.008912876674174465,0.007011962716055745,-0.1053376922180581,17.688120576052068
66,train_mean,14,0.00926516839747201,0.00744371728728644,0.0,22.33987918610001
66,xgboost,14,0.00892430494088716,0.007008059450678637,-0.19917084812161295,17.839022611391144
126,bilstm,14,0.011430507579957479,0.009178810427279901,-3.1268662077511657,41.834033576003485
126,h1_xgb_bilstm,14,0.009746989710117577,0.007875551792941287,-1.1043596372529374,20.94431118997775
126,h2_harx_xgb,14,0.008112873528578637,0.006389209704384404,-0.030080053953708465,0.6675835172818001
126,h3_harx_resid,14,0.00853913542760741,0.006647524409586936,-0.21008075885920224,5.9568013473829895
126,har,14,0.008203489982229582,0.006233177874725985,0.05192658771522209,1.7919865273635427
126,har_x,14,0.008059072488996306,0.0061442456662599764,0.07910399462887599,0.0
126,har_x_log,14,0.008012348232290722,0.006211439829674161,0.028230283409912356,-0.5797721359297903
126,past_vol,14,0.008507621062478569,0.006894556706311881,-0.18983089829088456,5.5657592619337
126,train_mean,14,0.008964920973750675,0.007253763105404555,0.0,11.240108411869931
126,xgboost,14,0.008627015238730691,0.006907759454030499,-0.28338019451507096,7.0472470685658095
