horizon,model,n_folds,rmse_fold_mean,mae_fold_mean,r2_oos_fold_mean
5,xgboost,15,0.010912739598711873,0.00786782223946694,0.2826840522169668
5,har,15,0.01083411684733013,0.007807164273352735,0.29451261800873246
5,har_log,15,0.01085690716789887,0.007829705056071772,0.2906721278354703
5,har_x,15,0.01034091799379505,0.007391239028488578,0.3729120242261683
5,har_x_log,15,0.010334907997353706,0.007349157454122973,0.3823660110800893
5,garch,15,0.011210584904921302,0.008596701692014586,0.24024234457550409
5,train_mean,15,0.013439693871860899,0.01002699319511752,0.0
5,past_vol,15,0.013317793292048267,0.009538438142499514,-0.0754523876586022
22,xgboost,15,0.009079756323283747,0.006895950068863047,0.18643008542097952
22,har,15,0.008599557625720544,0.006451299364336729,0.2759580637168481
22,har_log,15,0.008677917498940136,0.006500558000484868,0.2587144743458825
22,har_x,15,0.007669064271488212,0.005643771300388385,0.43600890126964414
22,har_x_log,15,0.0075614637709356895,0.00556290644188421,0.4426830488637806
22,garch,15,0.008969727699558202,0.007019395281842248,0.19149148146856987
22,train_mean,15,0.011216482276468683,0.008996937533490682,0.0
22,past_vol,15,0.00949263292038043,0.0072278120488609215,0.0706912430372381
66,xgboost,14,0.008924304940887107,0.007008059450678586,-0.19917084812161087
66,har,14,0.008099729024691542,0.0060860551722476865,0.05757310537566544
66,har_log,14,0.008199037252201584,0.006202890300956076,-0.0302924533639633
66,har_x,14,0.007573301902136178,0.005608923209975858,0.203606937864771
66,har_x_log,14,0.007503573335551219,0.005635472586113557,0.19902484340070778
66,garch,14,0.00903573845340397,0.00709824430874473,-0.23454751373803487
66,train_mean,14,0.009240431846318403,0.007416933698261856,0.0
66,past_vol,14,0.008912876674174465,0.007011962716055747,-0.10792016421261083
126,xgboost,14,0.008627015238730643,0.0069077594540304646,-0.283380194515064
126,har,14,0.008203489982229587,0.006233177874725995,0.06069048795948929
126,har_log,14,0.008274597009925288,0.006321486511296311,-0.03481694703286804
126,har_x,14,0.008059072488996311,0.006144245666259987,0.10037893889906131
126,har_x_log,14,0.008012348232290729,0.006211439829674171,0.0518835313253294
126,garch,14,0.00943594328233109,0.007588297879148139,-0.5108801124908692
126,train_mean,14,0.009028045719104896,0.007335469993093273,0.0
126,past_vol,14,0.008507621062478569,0.006894556706311887,-0.1978276148757261
