horizon,n_valid_targets_full,n_affected_full,pct_affected_full,n_test_targets,n_affected_test,pct_affected_test,n_affected_2017plus,n_window_with_calendar_gap_ge4_full,pct_window_with_calendar_gap_ge4_full
5,4636,198,4.270923209663503,3662,80,2.184598580010923,0,699,15.07765314926661
22,4619,734,15.890885473046113,3645,328,8.998628257887518,0,2655,57.479974020350724
66,4575,1182,25.83606557377049,3500,494,14.114285714285714,0,4303,94.05464480874316
126,4515,1482,32.82392026578073,3500,614,17.542857142857144,0,4515,100.0
