horizon,ozellik,grup,mean_abs_shap,pay_pct
5,brent_ema10,brent_fiyat,0.01645111876229445,1.3231067571015194
5,brent_ema20,brent_fiyat,0.01386781840895613,1.1153408171364756
5,brent_ema5,brent_fiyat,0.00812552124261856,0.6535076560094756
5,brent_lag1,brent_fiyat,0.013874337077140808,1.11586509114161
5,brent_lag2,brent_fiyat,0.00794751465631028,0.6391912000555576
5,brent_lag3,brent_fiyat,0.0050885585912813745,0.40925522168513967
5,brent_lag4,brent_fiyat,0.006771181508277853,0.5445827810627129
5,brent_lag5,brent_fiyat,0.012790276824186245,1.028677862934565
5,brent_ret_lag1,brent_fiyat,0.01178367412649095,0.9477202788163462
5,brent_ret_lag2,brent_fiyat,0.012357246906807026,0.9938507598061912
5,brent_ret_lag3,brent_fiyat,0.014600816493233046,1.1742933256109809
5,brent_ret_lag4,brent_fiyat,0.010219008351365725,0.8218796056325524
5,brent_ret_lag5,brent_fiyat,0.00634810901246965,0.5105565190172027
5,brent_vol126,brent_vol,0.030644154548645018,2.464603686522811
5,brent_vol20,brent_vol,0.05650987066328526,4.544894046287804
5,brent_vol5,brent_vol,0.1057390625278155,8.504228201232694
5,brent_vol60,brent_vol,0.05984453136722247,4.81308930849287
5,dow,takvim,0.0013240869351041813,0.10649174661856511
5,gprd_ema10,gpr,0.012193775145957868,0.9807032897465537
5,gprd_ema20,gpr,0.02038166333610813,1.6392269042991112
5,gprd_ema5,gpr,0.010764228894064825,0.8657298139119513
5,gprd_lag1,gpr,0.00638997028581798,0.5139232768911411
5,gprd_lag2,gpr,0.007490815067042907,0.6024604268323953
5,gprd_lag3,gpr,0.00851051261027654,0.6844711842250475
5,gprd_lag4,gpr,0.00794337981690963,0.6388586491798648
5,gprd_lag5,gpr,0.011418621505921085,0.9183603552784627
5,gprd_momentum,gpr,0.01364954337477684,1.0977857087695535
5,gprd_spike,gpr,8.662261340456704e-06,0.0006966758113500508
5,gprd_threat_ema10,gpr,0.011889733063677946,0.9562502334334598
